year,country,session,happiness_average,happiness_standard_deviation
1953,IRQ,08,5.343347652654189,1.127290150352869
1953,ISL,08,5.420116518163125,1.1271029243774275
1953,ISR,08,5.4111863098301605,1.118091224909933
1953,LBN,08,5.366477115117893,1.1179601017105871
1953,LBR,08,5.355099685204617,1.1138512591815322
1953,MEX,08,5.404480362537765,1.1261557099697885
1953,MMR,08,5.325535261288685,1.1106970065956367
1953,NLD,08,5.380063737001007,1.1136078832606509
1953,NZL,08,5.408029400079459,1.1142519268970996
1953,PAK,08,5.381207671561283,1.1039438417740486
1953,PER,08,5.373104566333423,1.1184355849770333
1953,PHL,08,5.409521247982786,1.137618289402905
1953,POL,08,5.333018790006195,1.1213837084451788
1953,RUS,08,5.294728622385038,1.1109352357080884
1953,SLV,08,5.347045619116582,1.0996759956553221
1953,SWE,08,5.374341061622941,1.1158786455155583
1953,SYR,08,5.376742081447964,1.103137081447964
1953,UKR,08,5.302681242807826,1.1190214326812429
1953,USA,08,5.367609708261829,1.127032924736455
1953,VEN,08,5.327010380622838,1.1035704498269896
1953,YUG,08,5.367434247341913,1.1079927252378288
1953,ZAF,08,5.351476666666667,1.0961878333333335
1954,ARG,09,5.4670129540259085,1.1195445516891034
1954,AUS,09,5.394177877428999,1.127122029147982
1954,BLR,09,5.287263325377884,1.1183200278440733
1954,BOL,09,5.362898550724638,1.1237658862876254
1954,BRA,09,5.418145346925354,1.1239860243341007
1954,CAN,09,5.371362515413071,1.1171671085080148
1954,CHL,09,5.382402105955906,1.1135121421520238
1954,CHN,09,5.295664610207515,1.132497476163769
1954,COL,09,5.361157840083074,1.119341329179647
1954,CRI,09,5.450489895897122,1.1297132884262095
1954,CSK,09,5.332864864864865,1.115695694980695
1954,CUB,09,5.429681224099458,1.1213067261715015
1954,ECU,09,5.374715350223546,1.1183295081967213
1954,EGY,09,5.447487844408427,1.1142248784440842
1954,ETH,09,5.409319923371648,1.117542816091954
1954,FRA,09,5.413910632746249,1.1199424983692108
1954,GBR,09,5.36846425543939,1.126610822266177
1954,GRC,09,5.4583747514910534,1.1192016401590459
1954,GTM,09,5.340807875084861,1.1243399864222676
1954,IDN,09,5.390260939381775,1.1272175832998794
1954,IND,09,5.37169158343406,1.1067613206947007
1954,IRQ,09,5.373561643835616,1.1204185090793246
1954,ISR,09,5.372231889923108,1.124274119789559
1954,LBR,09,5.42781041388518,1.1122357810413885
1954,MMR,09,5.317256198347108,1.1164404628099174
1954,NLD,09,5.391302245250432,1.1189305699481866
1954,NOR,09,5.38536331300813,1.1265127540650406
1954,NZL,09,5.4161769402746724,1.1169435962951133
1954,PAK,09,5.364879032258065,1.1054908938172043
1954,PAN,09,5.401111111111111,1.1089740162037036
1954,PER,09,5.369756345177666,1.1209332233502538
1954,PHL,09,5.359768666241225,1.1229053126994257
1954,POL,09,5.329411946288009,1.1248781756443895
1954,RUS,09,5.327048310527786,1.1158911663408733
1954,SYR,09,5.324508615188258,1.126045979578813
1954,THA,09,5.41268903088392,1.121721299254526
1954,UKR,09,5.333558243157225,1.1179111075747932
1954,URY,09,5.423071394345952,1.1185503593675132
1954,USA,09,5.383335304553518,1.1258389118864578
1954,VEN,09,5.417292277614858,1.1186612903225805
1954,YUG,09,5.377405857740586,1.1050068253138075
1954,ZAF,09,5.36816875,1.09915884375
1955,ARG,10,5.476662202879143,1.1186004352192835
1955,AUS,10,5.448954954954956,1.1213461425061424
1955,BLR,10,5.402094257178526,1.1189897003745317
1955,BOL,10,5.418569606413994,1.1338680758017492
1955,BRA,10,5.397715072264281,1.1225691672401925
1955,CAN,10,5.416801107156979,1.111324001581653
1955,CHL,10,5.387302133516862,1.1154499655884378
1955,CHN,10,5.353252483927529,1.1255627703097604
1955,CRI,10,5.454667385832434,1.1056056454512766
1955,CSK,10,5.456497668997669,1.1136398310023312
1955,DNK,10,5.45748940178992,1.1260608101742817
1955,DOM,10,5.416715472892759,1.0945018599129401
1955,ECU,10,5.461379501385042,1.114804709141274
1955,EGY,10,5.3736139767054905,1.1062511480865225
1955,ETH,10,5.394611201740076,1.1100433931484501
1955,FRA,10,5.3797610993657505,1.1124041014799158
1955,GBR,10,5.413140572131652,1.1307837280836666
1955,GRC,10,5.346060786650774,1.0977645411203816
1955,HTI,10,5.384752223634053,1.1129781448538756
1955,IDN,10,5.447425722002909,1.1246855183877
1955,IND,10,5.390713259072943,1.0995306144448436
1955,IRN,10,5.428749999999999,1.116596138996139
1955,IRQ,10,5.415685425685425,1.1246064935064934
1955,ISR,10,5.364965971459934,1.113907903402854
1955,LBN,10,5.378674183514775,1.1012337480559875
1955,LBR,10,5.423304924242425,1.1005617424242424
1955,MMR,10,5.384616236162362,1.1033325830258303
1955,NLD,10,5.430973817179605,1.1124435002296738
1955,NZL,10,5.440423861852433,1.112569649398221
1955,PAK,10,5.399134036144578,1.1071911144578312
1955,PAN,10,5.490461783439491,1.1149859872611465
1955,PER,10,5.385395305744287,1.1224797714638666
1955,POL,10,5.398096143400326,1.1226157794676805
1955,PRY,10,5.41782012195122,1.1067957317073172
1955,RUS,10,5.38273317808555,1.1213552886383136
1955,SWE,10,5.366093406593407,1.10063510989011
1955,SYR,10,5.340989727702593,1.1177993314854069
1955,THA,10,5.481733001658375,1.1151617330016583
